prompt,completion
"Brand is Ted Baker. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Synthetic. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: recycled polyester, Sole: rubber.","Perfect for casual days, these trainers from Ted Baker boast durable uppers that are built to last.
Complete with a lace-up front, pair with rolled up trousers for the ultimate weekend look."
"Sub-Brand is Barbour International. Brand is Barbour. Occasion Type is Casual. Main Shoe Material is Leather. Shoe Or Boot Style is Fashion Trainers. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: leather, Lining: polyester.","Crafted from 100% supple leather, these trainers make the perfect pairing for everyday styling."
"Main Shoe Material is Leather. Shoe Or Boot Style is Court Shoes. Heel Type is Stiletto. Heel Height is High. Brand is L.K.Bennett. Exact Heel Height is 8.5cm. Toe Detail is Pointed. Material is Upper: Suede, Sole: Leather, Lining: Leather.","Floret by L.K. Bennett is a classic court shoe with an elegant pointed toe and slim stiletto heel. This statement style is perfect for taking you from the office to an evening event or summer wedding for an effortlessly chic finish.
Heel height: 8.5 cm"
"Heel Height is Mid. Brand is Hobbs. Occasion Type is Smart. Main Shoe Material is Leather. Shoe Or Boot Style is Court Shoes. Exact Heel Height is 4cm. Fastening is Buckle. Heel Type is Kitten. Toe Detail is Closed Toe, Square. Material is Upper: leather, Sole: leather/TPU, Lining: leather.","The ultimate in stalwart style, this pair of courts from Hobbs is made from leather for comfort and quality that you can rely on.
Sitting on a kitten heel, they are defined by an angular square toe for modern appeal.
Heel height: 4cm"
"Brand is Oliver Sweeney. Occasion Type is Smart. Shoe Or Boot Style is Brogues, Derby. Main Shoe Material is Leather. Fastening is Lace-Up. Toe Detail is Closed Toe, Pointed. Composition is Upper: leather, Sole: rubber.","Fressignfield from Oliver Sweeney is the every-occasion derby shoe. Crafted in black calf leather and finished to a perfect shine, it's versatile and reliable."
Heel Height is Low. Brand is Celtic & Co.. Occasion Type is Casual. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Suede. Heel Type is Block. Toe Detail is Round. Material is Suede. Pattern Details is Plain.,"An understated classic you can’t possibly be without, this pair of ankle boots from Celtic & Co. offers an elegant touch to your ensemble with its soft suede uppers.
Set on a block heel, they are round-toed in design and are sure to make your everyday staples sing."
"Shoe Or Boot Style is Pumps. Main Shoe Material is Leather. Heel Type is Flat. Heel Height is Flat. Brand is Boden. Occasion Type is Casual. Toe Detail is Closed Toe, Pointed. Material is Upper, Lining and Insock: leather, Sole: synthetic. Pattern Details is Plain, Textured.","Slipping on for effortlessly for busy days ahead, this pair of pumps from Boden is crafted from leather for comfort and longevity of wear.
Set on a flat heel, they are finished with a pointed toe that's sure to flatter."
Heel Height is 7cm. Washing Instructions is Spot Clean Only. Shoe Or Boot Style is Espadrilles. Main Shoe Material is Kid Suede. Heel Type is Wedge. Brand is Phase Eight. Occasion Type is Casual. Exact Heel Height is 7cm. Toe Detail is Open Toe. Composition is 100% Goat Suede Leather.,"A style you'll want to wear all day everyday. These Phase Eight espadrilles have been designed with a jute wedge sole, pretty open toe and a delicate buckle fastening ankle strap. A must-have for staycations and warm weekends."
"Washing Instructions is Wipe Clean Only. Shoe Or Boot Style is Espadrilles. Main Shoe Material is Textile. Heel Type is Flat. Heel Height is Flat. Brand is TOMS. Occasion Type is Casual. Exact Heel Height is 2.50cm. Comfort and Fit is Underfoot Cushioning. Toe Detail is Round. Composition is Upper: textile, Sole: textile/rubber, Lining: cotton.","Preparing you for the warm weather, this pair of espadrilles from TOMS is made with textile uppers for a distinctive edge.
Sitting on a flat heel, they have been designed with underfoot cushioning to provide extra support when on your feet and are finished with a rounded toe.
Heel height: 2.5cm"
"Washing Instructions is Wipe Clean Only. Shoe Or Boot Style is Loafers. Main Shoe Material is Suede. Heel Type is Flat. Heel Height is Flat. Brand is Crew Clothing. Occasion Type is Casual. Toe Detail is Closed Toe, Rounded Square. Composition is Upper: suede, Sole: synthetic, Lining: leather.","Opting for an understated, chic style, this pair of loafers from Crew Clothing is made with luxurious suede uppers to add a soft texture to your look.
Sitting on a flat heel, they have a squared toe that is beautifully curved for modern appeal."
"Shoe Or Boot Style is Sports Trainers. Main Shoe Material is Synthetic. Heel Type is Flat. Brand is adidas. Comfort and Fit is Underfoot Cushioning. Toe Detail is Round. Material is Upper: synthetic/textile, Sole: rubber, Lining: textile. Sustainable Material is Recycled.","A balance of comfort and style for versatile everyday wear, these women's running-inspired adidas shoes feature a breathable knit upper to keep feet cool. 
The easy-wearing Bounce midsole provides energised cushioning for any activity, whilst classic details add a sporty finish. 
Made with a series of recycled materials, the upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste."
"Washing Instructions is Do Not Wash. Main Shoe Material is Satin. Shoe Or Boot Style is Court Shoes. Heel Type is Block. Heel Height is High. Brand is Rainbow Club. Occasion Type is Casual. Exact Heel Height is 10cm. Comfort and Fit is Underfoot Cushioning. Toe Detail is Pointed. Composition is Upper: satin, Sole: synthetic, Lining: synthetic.","A simple shape with a retro feel, these Savannah wedding shoes from Rainbow Club show off a subtle hint of sparkle.
Designed from luxurious ivory satin with silver leather trim, they have a sharply-pointed toe, a strap across the foot finished with a chic diamanté square buckle, a closed back and a wear-all-day block heel.  A contemporary take on a classic style, these modern bridal shoes are perfect for understated brides, and can also be dyed to match bridesmaid dresses or mother of the bride and wedding guest outfits.
Also boasting the Rainbow Club unique Bliss Cushion Comfort in blush pink; a padded lining and super-soft underfoot comfort, they promise blissful feet all day long.
And as with all Rainbow Club bridal shoes, you’ll discover a hidden blue crystal in the soles as your ‘something blue’. This thoughtful finishing touch is our tiny token of good luck on your special day and a true mark of Rainbow Club authenticity.
This brand offers a bespoke dye-to-match hand colouring service which allows you to colour your Rainbow Club shoes and accessories to match any outfit or occasion. All colours are meticulously hand mixed and matched by our colour experts in the Rainbow Club Colour Studio, based in the heart of Devon. No one understands the transformative power of colour better than Rainbow Club. If you want your ivory shoes to be any colour of the rainbow, our expert team of hand colourists can match to any shade.
Whether you want to be the centre of attention on your wedding day or stand-out accessories for a special event, Rainbow Club has your colour covered."
"Heel Height is Mid. Washing Instructions is Wipe Clean Only. Brand is L.K.Bennett. Shoe Or Boot Style is Court Shoes. Main Shoe Material is Suede. Exact Heel Height is 5cm. Heel Type is Kitten. Toe Detail is Pointed. Material is Upper: suede, Sole: leather, Lining: leather.","A kitten heel with a difference, the Ava court shoes feature a new take on a classic heel shape for us. Crafted in Spain from super-soft suede, they have a pointed toe, a sleek shape, and a chic, set-back kitten heel. Wear them with tailored trousers as an elevated alternative to a simple flat."
"Washing Instructions is Wipe Clean Only. Shoe Or Boot Style is Court Shoes. Main Shoe Material is Synthetic. Heel Type is Stiletto. Heel Height is Mid. Brand is Mango. Occasion Type is Smart. Exact Heel Height is 8cm. Toe Detail is Closed Toe, Pointed. Material is Upper: synthetic, Sole: rubber, Lining: synthetic.","Slinking your way through evenings and events with ease, this pair of courts from Mango is rendered in a long-lasting fabric for longevity of wear.
Set on a stiletto heel, they are finished with a pointed toe that elongates the profile.
Heel height: 8cm"
"Main Shoe Material is Leather. Shoe Or Boot Style is Mules. Heel Type is Block. Heel Height is Low. Brand is Dune. Exact Heel Height is 2cm. Toe Detail is Square. Composition is Upper: leather, Sole: synthetic.","Opting for an understated, chic style, this pair of loafers from Dune is made from leather for comfort and quality that you can rely on.
Set on a block heel and designed in signature stars, they are squared off at the toe for architectural structure.
Heel height: 2cm"
"Main Shoe Material is Leather. Shoe Or Boot Style is Court Shoes. Heel Type is Block. Heel Height is Mid. Brand is Kurt Geiger London. Occasion Type is Smart. Exact Heel Height is 6cm. Toe Detail is Closed Toe, Pointed. Material is Upper: leather, Sole: synthetic, Lining: synthetic.","Reflecting the classic, yet sophisticated aesthetic they're known for, this pair of courts from Kurt Geiger London is crafted from leather for comfort and longevity of wear.
Sitting on a block heel, they are finished with a pointed toe that's sure to flatter.
Heel height: 6cm"
"Heel Height is High. Washing Instructions is Do Not Dry Clean. Brand is Reiss. Occasion Type is Smart. Main Shoe Material is Leather. Shoe Or Boot Style is Court Shoes. Exact Heel Height is 8.5cm. Heel Type is Stiletto. Toe Detail is Closed Toe, Pointed. Material is Upper: leather, Sole: resin, Lining: leather.","Slinking your way through evenings and events with ease, this pair of courts from Reiss is fashioned from leather for footwear that will last for years to come.
Sitting on a stiletto heel, they are finished with a pointed toe that's sure to flatter.
Heel height: 8.5cm"
"Heel Height is Flat. Washing Instructions is Do Not Wash. Brand is White Stuff. Occasion Type is Casual. Main Shoe Material is Suede. Shoe Or Boot Style is Moccasins. Fastening is Slip-On. Heel Type is Flat. Toe Detail is Round. Material is Upper: suede, Sole: other, Lining: leather.","Grippy, slip-on moccasins in soft suede. With 5mm memory foam insoles for added squish and textured rubber soles for added grip."
"Heel Height is Low. Washing Instructions is Wipe Clean Only. Brand is Crocs. Occasion Type is Casual. Shoe Or Boot Style is Mules. Main Shoe Material is EVA. Exact Heel Height is 3cm. Fastening is Slingback, Slip-On. Heel Type is Flatform. Toe Detail is Round. Composition is Upper: 98% EVA, 2% plastic. Pattern Details is Abstract.","Practical yet stylish for the warmer months, this pair of mules from Crocs is made with durable uppers for seasons of wear.
Sitting on a flatform heel, they have a rounded toe for everyday charm.
Heel height: 3cm"
"Heel Height is Flat. Brand is White Stuff. Occasion Type is Casual. Main Shoe Material is Textile. Shoe Or Boot Style is Espadrilles. Fastening is Slip-On. Toe Detail is Round. Material is Upper: jute/cotton, Sole: rubber, Lining: cotton.","These fun and colourful espadrilles from White Stuff feature a summery pineapple design crafted from beads to create a laid-back warm-weather staple.
Featuring comfy insoles for added comfort, wear yours wherever the sun is shining."
Heel Height is High. Washing Instructions is Wipe Clean Only. Brand is Mango. Shoe Or Boot Style is Heeled Sandals. Main Shoe Material is Synthetic. Exact Heel Height is 8.5cm. Heel Type is Stiletto. Toe Detail is Open Toe. Material is Upper: polyurethane .,"A go-to option for nights out, this pair of heeled sandals from Mango is rendered in a long-lasting fabric for longevity of wear.
Set on a stiletto heel, they will keep you on-trend this season.
Heel height: 8.5cm"
"Washing Instructions is Wipe Clean Only. Shoe Or Boot Style is Loafers. Main Shoe Material is Leather. Heel Type is Flat. Heel Height is Flat. Brand is L.K.Bennett. Occasion Type is Casual. Toe Detail is Closed Toe, Round. Material is Upper: leather, Lining: leather.","Bringing a smart addition to your footwear collection, this pair of loafers by L.K.Bennett is fashioned from leather for footwear that will last for years to come.
Sitting on a flat heel, they have a rounded toe for everyday charm."
"Washing Instructions is Wipe Clean Only. Shoe Or Boot Style is Court Shoes. Main Shoe Material is Synthetic. Heel Type is Stiletto. Heel Height is Mid. Brand is Mango. Occasion Type is Smart. Exact Heel Height is 6cm. Toe Detail is Pointed. Material is Upper: synthetic, Sole: synthetic.","In a traditional court silhouette, this pair of shoes by Mango offers long-lasting, comfortable wear.
Sitting on a stiletto heel, they are neatly pointed at the toe for a timeless finish.
Heel height: 6cm"
"Heel Height is Mid. Washing Instructions is Wipe Clean Only. Brand is Crocs. Occasion Type is Casual. Main Shoe Material is EVA. Shoe Or Boot Style is Mules. Exact Heel Height is 6cm. Fastening is Slingback. Heel Type is Flatform. Toe Detail is Round. Composition is Upper: 82% EVA, 18% textile. Pattern Details is Plain.","A versatile favourite for warmer months, this pair of mules from Crocs is made with uppers that are built to last.
Set on a flatform heel, they are shaped with a round toe for everyday appeal."
"Shoe Or Boot Style is Loafers. Main Shoe Material is Leather. Heel Type is Flatform. Heel Height is Low. Brand is Vagabond Shoemakers. Occasion Type is Casual. Exact Heel Height is 4.5cm. Toe Detail is Round. Composition is Upper: leather, Lining: textile, Sock: leather, Outsole: TPR.","Bringing a smart edge to your ensembles, this pair of loafers by Vagabond Shoemakers is crafted from leather for comfort and longevity of wear.
Set on a block heel, they have a rounded toe for everyday charm.
Heel height: 4.5cm"
"Washing Instructions is Do Not Wash. Main Shoe Material is Satin. Shoe Or Boot Style is Pumps. Heel Type is Flat. Heel Height is Flat. Brand is Paradox London. Occasion Type is Smart. Exact Heel Height is 0cm.  Heel Style is Covered. Finish is Satin. Toe Detail is Round. Material is Upper: satin, Sole: synthetic, Lining: synthetic.","Slip into these Xeelia flat shoes by Paradox London.
The cushioned insock makes them super comfortable and the elastic detailing keeps the style snug to the foot. This style is not just lightweight but foldable  so they can accompany you to any occasion."
"Washing Instructions is Wipe Clean Only. Main Shoe Material is Leather. Shoe Or Boot Style is Mary Janes. Heel Type is Flat. Heel Height is Low. Brand is Hotter. Occasion Type is Casual. Comfort and Fit is Underfoot Cushioning, Wide Fit. Exact Boot Length is 2.5cm. Toe Detail is Round. Material is Upper: leather, Sole: synthetic, Lining: leather.","From Hotter, Lake wide fit is your perfect flat for Summer.
With Freesole for a high energy return and an OrthoLite® insole for underfoot cushioning, you will be walking for longer and standing taller in supportive and superior comfort.
This modern look is made with soft vintage leather and finished off with a woven buckled strap, perfectly adjustable for you to find your own fabulous fit."
"Washing Instructions is Spot clean. Main Shoe Material is Leather. Shoe Or Boot Style is Court Shoes. Heel Type is Stiletto. Heel Height is Mid. Brand is Hobbs. Occasion Type is Casual. Exact Heel Height is 7cm. Toe Detail is Almond, Closed Toe. Material is Upper: leather, Sole: leather, Lining: leather.","Bringing a sleek edge to your footwear collection, this pair of court shoes from Hobbs is made with leather for a luxe addition to your footwear collection.
Sitting on a stiletto heel, they are rounded off with an almond-shaped toe for a softer silhouette."
"Sport & Fitness Activity is Walking, Hiking & Camping. Brand is The North Face. Shoe Or Boot Style is Walking. Main Shoe Material is Textile. Fabric Features is Breathable, Moisture Resistant, Sweat Resistant (Wicking), Waterproof. Heel Type is Flat. Comfort and Fit is Flexible Sole, Underfoot Cushioning. Material is Upper: synthetic textile, Sole: rubber.","The Hedgehogs are TNF's classic, tried and tested hiking shoes built for versatility and comfort balanced with a lower profile and weight than boots.
For this new iteration, they've harnessed breathable FUTURELIGHT™ technology for the membrane. The soles are zonally fine-tuned with CRADLE™: the toe area gives added stiffness over rocky terrain, and the heel shape is optimised for comfort.
The Ortholite® insoles maintain their cushioning power over the long term and the durable Vibram® XS Trek outer soles deliver the optimal balance of traction and durability without adding unnecessary weight or bulk.
"
"Washing Instructions is Do Not Wash. Shoe Or Boot Style is Ballerina Slippers. Main Shoe Material is Leather. Brand is Geox. Occasion Type is Casual. Comfort and Fit is Wide Fit. Material is Upper: 80% sheep leather, 20% synthetic polyurethane, 6% synthetic microfibre, Sole: 100% rubber, Inner: 100% goat leather.","Palmaria is a lightweight breathable ballet flat from Geox with a pretty bow detail and a comfortable casual-looking design.
With a pared-back understated aesthetic, it features an attractive upper made from supple woven leather.
The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, creating the perfect microclimate inside the shoe to keep feet dry and comfortable the whole day long."
"Shoe Or Boot Style is Loafers. Main Shoe Material is Textile. Heel Type is Flat. Heel Height is Low. Brand is Boden. Occasion Type is Casual. Toe Detail is Round. Composition is Upper: textile, Sole: synthetic, Lining: leather.","From Boden, these classic loafers have been designed with a fresh geometric pattern in soft textile.
In a simple slip-on design, they're completed with a low block heel. Wear yours with just about anything."
"Main Shoe Material is Fabric. Shoe Or Boot Style is Pumps. Heel Type is Flat. Heel Height is Flat. Brand is L.K.Bennett. Material is Upper: Textile, Sole: Leather.","Choose a feminine pair for day or evening with these Hilde pumps from L.K.Bennett. Featuring a slip-on design with a rounded pointed toe, they are finished with a pretty bow with raw edges and are leather lined for comfort. "
"Main Shoe Material is Leather. Shoe Or Boot Style is Court Shoes. Country of Origin is Spain. Heel Type is Block. Heel Height is Low. Brand is John Lewis. Exact Heel Height is 5cm. Comfort and Fit is Underfoot Cushioning. Toe Detail is Closed Toe, Pointed. Material is Upper: Leather, Sole: Synthetic, Lining: Leather. Pattern Details is Plain.","Designed from patent leather for a smart glossy finish, our elegant Amanda court shoes are ideal for all occasions.
Completed with underfoot cushioning to ensure comfort throughout the day, the shoes feature a low block heel and a rounded square toe.
Heel height: 5cm
John Lewis & Partners introduces a new style philosophy focused on individuality, colour and versatility. Each piece is designed to work together and with your existing wardrobe.
Designed in-house, the collection features contemporary clothing and accessories with strong, clean lines. Every season, our designers create distinct colour groups that include both the building blocks of every wardrobe and vibrant stand-out pieces that add a finishing touch.
Empower your personal style and mix, match, tone and clash. John Lewis & Partners: it’s how you wear it."
"Shoe Or Boot Style is Loafers. Main Shoe Material is Leather. Heel Type is Flat. Heel Height is Low. Brand is Moda in Pelle. Exact Heel Height is 2cm. Toe Detail is Closed Toe, Pointed. Composition is Upper: leather, Sole: rubber.","Cementing your style status, this pair of loafers from Moda in Pelle is crafted from leather for comfort and longevity of wear.
Set on a block heel, they are finished with a pointed toe that's sure to flatter.
Heel height: 2cm"
"Heel Height is Mid. Washing Instructions is  Dry wipe clean. Brand is Dune. Occasion Type is Smart. Main Shoe Material is Leather. Shoe Or Boot Style is Court Shoes. Exact Heel Height is 6cm.  Heel Style is Covered. Fastening is Slip-On. Heel Type is Stiletto. Toe Detail is Closed Toe, Pointed. Pattern Details is Abstract. Material is Upper: leather, Inner/Sock: synthetic, Sole: synthetic.","Bringing a sleek edge to your footwear collection, this pair of court shoes from Dune is made with leather uppers for long-lasting quality.
Set on a stiletto heel, they are neatly pointed at the toe for a timeless finish.
Heel height: 6cm"
"Heel Height is High. Washing Instructions is Do Not Dry Clean. Brand is Reiss. Occasion Type is Smart. Main Shoe Material is Leather. Shoe Or Boot Style is Mules. Exact Heel Height is 7.5cm. Fastening is Slip-On. Heel Type is Block. Toe Detail is Open Toe, Rounded Square. Material is 100% Leather .","Bringing a sleek edge to your footwear collection, this pair of mules from Reiss is made from pure leather for comfort and quality that you can rely on.
Set on a block heel, they boast a twist front for a timeless finish.
Heel height: 7.5cm"
"Heel Height is Mid. Washing Instructions is Do Not Wash. Brand is Phase Eight. Occasion Type is Smart. Main Shoe Material is Kid Suede. Shoe Or Boot Style is Court Shoes. Exact Heel Height is 5.5cm. Heel Type is Kitten. Toe Detail is Closed Toe, Pointed. Material is Upper: kid suede, Sole: rubber resin. Pattern Details is Plain.","In a traditional court silhouette, this pair of shoes by Phase Eight is made with suede for a luxe addition to your footwear collection.
Sitting on a kitten heel, they feature a pointed toe for a sharp finish.
Heel height: 6cm"
"Heel Height is Mid. Washing Instructions is Do Not Wash. Brand is Phase Eight. Occasion Type is Smart. Main Shoe Material is Leather. Shoe Or Boot Style is Mules. Exact Heel Height is 8cm.  Heel Style is Covered. Fastening is Buckle. Heel Type is Stiletto. Toe Detail is Closed Toe. Material is Upper: polyester, Lining: synthetic. Pattern Details is Embellishment, Plain.","In the season's favoured backless silhouette, this pair of mules from Phase Eight is made with supple leather for a luxurious feel.
Sitting on a stiletto heel, they are finished with a closed toe.
Heel height: 8cm"
"Shoe Or Boot Style is Espadrilles. Main Shoe Material is Leather. Heel Type is Wedge. Heel Height is High. Brand is Phase Eight. Occasion Type is Casual. Exact Heel Height is 9cm. Toe Detail is Open Toe. Material is Upper: leather, Inner/Sock: leather, Sole: jute, rubber.","Designed with both style and comfort in mind, these metallic espadrilles have a jute wedge sole. They're completed with 100% leather straps with buckle fastenings at the ankle strap and cross-over detailing at the round open toe. These are perfect to wear with your spring or summer occasion outfits or daywear dresses.
Heel height: 9cm"
"Washing Instructions is Do Not Wash. Main Shoe Material is Satin. Shoe Or Boot Style is Court Shoes. Heel Type is Stiletto. Heel Height is High. Brand is Rainbow Club. Occasion Type is Casual. Exact Heel Height is 9cm. Comfort and Fit is Underfoot Cushioning. Toe Detail is Almond. Composition is Upper: satin, Sole: synthetic, Lining: synthetic.","Discover the exquisite results of Rainbow Club's first collaboration.
It's joined forces with preeminent label Ivory and Co - renowned for their embellished dresses and tiaras - to design a collection that's exclusive to both brands.
Willow, a highly decorated court, is adorned with beautiful embroidery and beaded detailing.
Good to know: This style is non-dyeable."
Heel Height is Mid. Washing Instructions is Wipe Clean Only. Brand is Crocs. Occasion Type is Casual. Shoe Or Boot Style is Mules. Main Shoe Material is EVA. Exact Heel Height is 6.5cm. Fastening is Slip-On. Heel Type is Flatform. Toe Detail is Round. Composition is 100% EVA.,"Set off with traditional details, this pair of clogs by Crocs comes in a soft, yet durable fabric that's built to last.
Sitting on a platform heel, they are shaped with a round toe for everyday appeal.
Heel height: 6.5cm"
"Heel Height is Low. Washing Instructions is Wipe Clean Only. Brand is L.K.Bennett. Occasion Type is Smart. Shoe Or Boot Style is Court Shoes. Main Shoe Material is Leather. Exact Heel Height is 4cl. Fastening is Buckle. Heel Type is Block. Toe Detail is Almond. Composition is Upper: leather, Lining: leather.","The ultimate in stalwart style, this pair of courts from L.K.Bennett is made from leather for comfort and quality that you can rely on.
Set on a block heel, they have an almond-shaped toe that makes for a smooth finish.
Heel height: 4cm"
"Shoe Or Boot Style is Loafers. Main Shoe Material is Leather. Heel Type is Flat. Heel Height is Low. Brand is Dune. Occasion Type is Smart. Exact Heel Height is 1.5cm. Toe Detail is Closed Toe, Rounded Square. Material is Upper: leather, Sole: synthetic, Lining: synthetic.","Classic in style, this pair of loafers by Dune is made from leather for comfort and quality that you can rely on.
Set on a flat heel, they are constructed with a curved square toe for contemporary appeal.
Heel height: 1.5cm"
"Heel Height is Mid. Brand is hush. Main Shoe Material is Textile. Exact Heel Height is 7cm. Toe Detail is Pointed. Pattern Details is Plain. Material is Upper: textile, Lining: leather.","Step out in style in these Joella heeled shoes from hush, made with a comfortable leather inner and a bold upper that owns the floor with every step you take."
"Washing Instructions is Wipe Clean Only. Main Shoe Material is Leather. Shoe Or Boot Style is Pumps. Heel Type is Flat. Heel Height is Low. Brand is Hotter. Exact Heel Height is 3.5cm. Comfort and Fit is Underfoot Cushioning. Toe Detail is Rounded Square. Material is Upper: leather/suede, Sole: synthetic, Lining: textile/leather.","Meet the update of Hotter's Serenity pump. Trust uses Freesole which absorbs the impact of your step and returns that energy into the next, enhancing your walking motion, while an OrthoLite® insole adds breathability and helps to reduce fatigue. The updated proportions on this elevated ballet style make this classic look more modern, with the contrasting suede, leather and metal detailing. Its low wedge and square toe give a roomier fit while the supportive back counter provides stability to your ankle. Trust this ballet pump for a step in a better direction."
